epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,support_ratio,lr
15,val,0.02820415122836244,0.24205398304614656,0.21704312787363908,0.0309188661271097,0.6834683199459135,0.5568647934816583,0.020127006465271102,0.31147004839252024,5.130956455138578e-05
16,train,0.027687642502682405,0.23602617483084648,0.21351569839008264,0.04315767061245157,0.6547838532542593,0.5447090253912756,0.032932372601968685,0.32442789364270386,5.018309679424111e-05
17,train,0.02758434115561293,0.23597305493563275,0.21347805958334246,0.04360405861434247,0.65464966146464,0.5446313780282678,0.0333761237370892,0.3242247880272599,4.900118737965954e-05
18,train,0.027480502803949838,0.23561310056040716,0.21323875570624182,0.04647135427360649,0.6533279247821075,0.5439876107304884,0.03718679784594181,0.3244594852300161,4.7769098848071516e-05
19,train,0.027554020042583154,0.2357731272076153,0.21340911194259232,0.04524757186987649,0.6536937426070487,0.5444292708503263,0.03619598237682986,0.32442750726134995,4.648921087693083e-05
20,train,0.02743301064159737,0.23521551243621033,0.21292321710813195,0.049697370490299764,0.6518844696138567,0.5431581150486922,0.0414441881734422,0.32449737024921205,4.5163869901664314e-05
20,val,0.028178445653977736,0.24190307349505288,0.21628488191885378,0.03212684468593974,0.6837038624461145,0.5551479699440707,0.019451506230833138,0.31147004839252024,4.5163869901664314e-05
21,train,0.027385544674590933,0.2349648850191641,0.21280018722018632,0.05172845027333661,0.6506795263188926,0.5428655081325561,0.04498988183995678,0.32452190219076915,4.379897710249805e-05
22,train,0.027342702186158797,0.23476226507485087,0.2127277348938918,0.05322592749814681,0.6501373378429749,0.5426588686316226,0.04635309382922281,0.32433304684356556,4.239592891536201e-05
23,train,0.027265124668890826,0.2344359649484973,0.21243971489215996,0.056022043700198254,0.6487866288323543,0.5419242619318513,0.050592370335132086,0.3243670353050396,4.09609725176791e-05
24,train,0.0271898523420735,0.23407750649943992,0.21227262333872104,0.0582721863943898,0.647274427236098,0.541365979367391,0.05392895107408702,0.3243049981768039,3.9495576028170916e-05
25,train,0.02728824206176234,0.23445514108300575,0.21253516194133354,0.05584108960081269,0.6490027993296337,0.5421495012389878,0.04991749257574163,0.3244378544230318,3.800626423475921e-05
25,val,0.028261645946627348,0.24229759138609422,0.2185404910628317,0.028967276325252644,0.6815059392404466,0.5604247568719117,0.025745769761611692,0.31147004839252024,3.800626423475921e-05
26,train,0.027132379752883583,0.23390201041870898,0.21219980914895256,0.0603278494452224,0.6467543040296214,0.541232414852879,0.056551549370209564,0.3243040354978373,3.649586634442455e-05
27,train,0.027144049779539967,0.23389791660488476,0.21218525253663278,0.06031170397153962,0.6468046339526855,0.5412205853785729,0.05633000709127678,0.3244542592584831,3.496719689986268e-05
28,train,0.026970715174859175,0.23339855565704373,0.21183699659238145,0.06424594096450476,0.6448322600006949,0.5402870453704537,0.06195890464163922,0.3242748145893408,3.342706241657942e-05
29,train,0.027040892506873658,0.23328798352211483,0.21178676450144915,0.06504874784308223,0.6443462847282659,0.5402004764755013,0.06319168502079298,0.3243591112128655,3.187703862208281e-05
30,train,0.02695680544611722,0.23314790415833772,0.21170380078493833,0.06629278119015614,0.6439868416063103,0.5399681336133758,0.06450155520519496,0.324346963121144,3.0324027113725036e-05
